证券代码,证券简称,"区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2004-03-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2004-06-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2004-09-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2004-12-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2005-03-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2005-06-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2005-09-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2005-12-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2006-03-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2006-06-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2006-09-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2006-12-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2007-03-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2007-06-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2007-09-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2007-12-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2008-03-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2008-06-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2008-09-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2008-12-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2009-03-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2009-06-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2009-09-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2009-12-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2010-03-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2010-06-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2010-09-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2010-12-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2011-03-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2011-06-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2011-09-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2011-12-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2012-03-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2012-06-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2012-09-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2012-12-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2013-03-31
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2013-06-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2013-09-30
[收益率计算方法] 对数收益率
[单位] %","区间收益率(年化)
[起始交易日期] 截止日3月前
[截止交易日期] 2013-12-31
[收益率计算方法] 对数收益率
[单位] %"
N225.GI,日经225,43.0469 ,4.8184 ,-31.2644 ,27.9887 ,6.5334 ,-0.5401 ,78.0334 ,87.1696 ,25.1375 ,-30.3425 ,27.6252 ,28.8108 ,1.5011 ,21.0917 ,-27.3939 ,-31.8666 ,-60.6568 ,21.1159 ,-54.9671 ,-73.6783 ,-32.0164 ,70.2695 ,14.6824 ,18.6092 ,22.2546 ,-49.4150 ,-8.0514 ,30.2292 ,-18.0566 ,15.5297 ,-38.9690 ,-11.0658 ,92.3357 ,-38.6990 ,-5.8393 ,79.3816 ,98.8963 ,45.0279 ,23.4251 ,45.2876 
KS11.GI,韩国综合指数,38.4295 ,-36.2232 ,30.1975 ,31.0041 ,34.4907 ,21.0107 ,102.0117 ,52.2539 ,-5.5220 ,-10.8748 ,36.2145 ,19.7454 ,5.0663 ,95.2946 ,53.4134 ,-9.8087 ,-36.7449 ,-6.2733 ,-46.7713 ,-68.9309 ,31.4714 ,52.6519 ,89.2944 ,-1.6757 ,2.4301 ,1.4596 ,41.1585 ,40.6785 ,11.4461 ,5.4545 ,-51.3624 ,12.8395 ,44.9997 ,-29.4803 ,31.5500 ,0.1697 ,1.5893 ,-26.0501 ,30.4428 ,-0.0907 
STI.GI,富时新加坡海峡指数,18.9836 ,0.1961 ,29.2091 ,21.6925 ,13.1120 ,23.4102 ,14.8117 ,10.4241 ,35.3793 ,-9.3404 ,29.7910 ,70.0871 ,36.2608 ,43.1719 ,19.5925 ,-18.3499 ,-43.4301 ,-10.4250 ,-61.4808 ,-74.7427 ,-15.4349 ,166.3493 ,67.0350 ,36.5278 ,1.0811 ,-11.9288 ,39.4173 ,10.6609 ,-12.7366 ,8.2728 ,-44.2241 ,-8.8486 ,61.7961 ,-14.5273 ,26.1505 ,14.0740 ,15.5014 ,-17.7630 ,2.1388 ,-5.0588 
SENSEX.GI,印度SENSEX30,-13.3141 ,-46.4708 ,64.4651 ,89.4625 ,-1.8288 ,53.6339 ,99.1570 ,37.1741 ,96.6118 ,-18.8016 ,103.8335 ,46.8353 ,-20.0859 ,57.3941 ,80.3545 ,80.0821 ,-69.0561 ,-57.8594 ,-24.5657 ,-73.7356 ,-0.3282 ,259.3507 ,69.4596 ,15.1775 ,4.3951 ,-0.2268 ,61.5730 ,10.9237 ,-17.5262 ,-5.5394 ,-41.3402 ,-28.1083 ,53.9876 ,8.6797 ,32.0100 ,14.7795 ,-12.0445 ,11.9415 ,-0.3228 ,31.0971 
SETI.GI,泰国SET指数,-51.3542 ,0.5427 ,-2.9548 ,20.6045 ,8.1094 ,-0.8660 ,22.5751 ,-4.9338 ,10.9602 ,-25.7195 ,9.3102 ,-3.5881 ,-3.6025 ,76.1072 ,38.1052 ,6.0998 ,-17.8348 ,-26.0640 ,-69.5854 ,-74.2988 ,-15.8489 ,202.3233 ,90.0113 ,10.9609 ,30.9091 ,15.0386 ,105.6671 ,27.4617 ,5.7351 ,2.1049 ,-39.3690 ,46.8433 ,76.9198 ,-10.8611 ,46.4663 ,30.4389 ,53.8489 ,-26.9158 ,-17.6516 ,-30.8778 
JKSE.GI,印尼综指,27.6408 ,8.8970 ,57.3024 ,116.4915 ,34.8057 ,19.8784 ,-15.6014 ,51.7985 ,63.2207 ,-3.8363 ,96.4761 ,89.3219 ,5.5690 ,83.7649 ,43.2006 ,81.9715 ,-40.9660 ,-18.9791 ,-65.9598 ,-78.1490 ,25.6938 ,201.2010 ,108.8854 ,15.4953 ,42.3593 ,17.2885 ,104.4945 ,24.9870 ,-2.6442 ,35.4515 ,-27.7549 ,33.2271 ,32.8653 ,-13.9382 ,33.7302 ,5.2733 ,68.0789 ,-9.4238 ,-37.5427 ,-13.3610 
KLSE.GI,富时马来西亚综指,67.2029 ,-31.2410 ,12.6280 ,30.4332 ,-16.9312 ,2.8769 ,16.5826 ,-10.3751 ,12.8292 ,-7.5141 ,25.4524 ,60.7180 ,64.2726 ,41.5698 ,-5.0709 ,34.8342 ,-49.3628 ,-20.7849 ,-47.8924 ,-48.8896 ,-4.3137 ,95.8818 ,50.8331 ,21.9274 ,16.8898 ,-1.4850 ,46.8261 ,16.1011 ,7.3269 ,15.4528 ,-41.6715 ,45.9317 ,18.6817 ,3.4057 ,9.6828 ,13.0746 ,-2.4288 ,25.1802 ,-1.0808 ,20.9319 
FTSE.GI,英国富时100,-7.1592 ,5.2350 ,4.9588 ,19.8150 ,6.3127 ,15.7327 ,29.0573 ,10.2695 ,24.9957 ,-8.2024 ,11.5446 ,17.7403 ,5.4609 ,18.9071 ,-8.0501 ,-0.5880 ,-41.7729 ,-4.4772 ,-38.4973 ,-28.3952 ,-37.2017 ,38.7597 ,86.3731 ,19.7158 ,21.3949 ,-47.4466 ,54.3514 ,24.0702 ,-4.0319 ,0.9225 ,-41.6703 ,30.1336 ,13.9766 ,-11.8143 ,12.1316 ,10.6913 ,35.1630 ,-11.7793 ,15.5658 ,14.4267 
FCHI.GI,法国CAC40,10.7290 ,10.7181 ,-11.1995 ,14.4840 ,26.3771 ,13.9210 ,34.8436 ,11.7675 ,44.4021 ,-15.5165 ,30.5926 ,22.8438 ,6.5112 ,32.0112 ,-20.1444 ,-6.7248 ,-54.1831 ,-19.9974 ,-28.7112 ,-58.7884 ,-43.5698 ,45.2832 ,81.1539 ,12.4838 ,3.8580 ,-46.5136 ,32.8029 ,6.8609 ,14.2803 ,-0.5384 ,-69.8150 ,17.4584 ,33.9596 ,-20.4769 ,19.5608 ,35.3497 ,12.5518 ,0.7856 ,44.0358 ,10.2697 
GDAXI.GI,德国DAX,-10.2532 ,17.6788 ,-15.5955 ,35.4872 ,8.8267 ,21.0195 ,40.6535 ,31.7220 ,42.9039 ,-14.7121 ,30.5861 ,42.1021 ,19.4895 ,75.2343 ,-6.7848 ,10.6550 ,-60.8860 ,-8.0166 ,-31.5284 ,-56.3107 ,-50.2054 ,63.7033 ,68.4066 ,17.3482 ,13.2602 ,-11.6070 ,18.0549 ,45.0306 ,7.1908 ,25.9236 ,-70.9430 ,18.3873 ,77.5312 ,-24.7259 ,52.3109 ,22.9552 ,9.7599 ,8.3775 ,31.7882 ,44.8536 
FTSEMIB.FI,意大利富时MIB,3.7670 ,12.2208 ,-5.7362 ,43.2577 ,18.7582 ,1.8865 ,32.6286 ,10.5505 ,24.8872 ,-12.5979 ,27.5553 ,32.2079 ,3.1517 ,1.7941 ,-18.0612 ,-12.8409 ,-58.4197 ,-26.1880 ,-42.0761 ,-73.1618 ,-58.9077 ,74.9551 ,101.3760 ,-5.1907 ,-6.6171 ,-53.2404 ,25.9934 ,-3.7260 ,31.6995 ,-26.2124 ,-72.9442 ,1.1206 ,23.5101 ,-36.5776 ,23.2939 ,33.2955 ,-21.4906 ,-2.5167 ,61.3359 ,31.8785 
